datetime,value
2018-03-01,16.571749111614274
2018-03-02,4.901246342823448
2018-03-03,-7.485349524961271
2018-03-04,0.6313175245502876
2018-03-05,11.162441817688652
2018-03-06,42.420663201061906
2018-03-07,74.29758524815941
2018-03-08,72.77406124002027
2018-03-09,72.6011464709241
2018-03-10,68.82317376946955
2018-03-11,73.40714923160121
2018-03-12,88.62711560330534
2018-03-13,76.49612326263899
2018-03-14,58.25798587957991
2018-03-15,53.69806430192631
2018-03-16,42.47970056165026
2018-03-17,39.77192500807605
2018-03-18,57.9563873191722
2018-03-19,75.03581057051899
2018-03-20,59.33384513602826
2018-03-21,47.49922191637071
2018-03-22,37.10249099792656
2018-03-23,30.44926709791382
2018-03-24,22.026415045281716
2018-03-25,14.259888067960704
2018-03-26,45.730207652259985
2018-03-27,86.56858018150609
2018-03-28,114.54132882483663
2018-03-29,120.38501064252193
2018-03-30,121.91695849259422
2018-03-31,118.8675600152284
2018-04-01,130.650486866602
2018-04-02,138.32901755417763
2018-04-03,142.15262849178114
2018-04-04,146.9111844683502
2018-04-05,127.86021052777849
2018-04-06,82.34573542261764
2018-04-07,46.40536695210217
2018-04-08,60.49596243578806
2018-04-09,95.70242424456465
2018-04-10,68.47186149248641
2018-04-11,59.851858173005404
2018-04-12,108.86017169336615
2018-04-13,140.6668338502387
2018-04-14,157.6545553490359
2018-04-15,153.36727274939125
2018-04-16,125.28667389182893
2018-04-17,147.824367133113
2018-04-18,168.22104535864074
2018-04-19,163.37538589121624
2018-04-20,177.98750480796565
2018-04-21,180.12749162203824
2018-04-22,182.14151211285863
2018-04-23,188.1188096660373
2018-04-24,184.73771525790434
2018-04-25,177.854118360824
2018-04-26,168.1208380797237
2018-04-27,154.17592523220736
2018-04-28,147.68563680346895
2018-04-29,150.39123049678926
2018-04-30,158.63650348946825
2018-05-01,177.9478670806583
2018-05-02,192.53167749150984
2018-05-03,183.8212753256129
2018-05-04,194.94828436740204
2018-05-05,203.28333636782256
2018-05-06,187.3269333154178
2018-05-07,196.8088466810683
2018-05-08,213.67423159171292
2018-05-09,200.37138252141767
2018-05-10,196.52645395756164
2018-05-11,205.14735330564625
2018-05-12,205.2908844636691
2018-05-13,193.96351305169313
2018-05-14,180.3860385586615
2018-05-15,180.3559958301192
2018-05-16,177.352539840295
2018-05-17,191.54623363485254
2018-05-18,211.35432624827462
2018-05-19,202.2300142627117
2018-05-20,191.0805580357772
2018-05-21,205.10136347699006
2018-05-22,213.96507394992813
2018-05-23,192.77817459299158
2018-05-24,187.38276906334158
2018-05-25,174.32628215424572
2018-05-26,177.60587462912295
2018-05-27,223.9468866175557
2018-05-28,246.694780586795
2018-05-29,254.1822921169847
2018-05-30,238.37645380433682
2018-05-31,208.3832302540884
2018-06-01,221.9594404711518
2018-06-02,258.98444209254745
2018-06-03,276.83879952992146
2018-06-04,267.6141821475121
2018-06-05,254.5776815049053
2018-06-06,246.27718260415537
2018-06-07,237.89609321262463
2018-06-08,252.22385816782096
2018-06-09,239.39856843290056
2018-06-10,229.09369987680373
2018-06-11,258.7570307232828
2018-06-12,281.04007586876685
2018-06-13,288.2851249957199
2018-06-14,280.68836730261046
2018-06-15,267.1726226484603
2018-06-16,257.38712672243935
2018-06-17,248.60060586596757
2018-06-18,255.52170681013746
2018-06-19,274.2122915614455
2018-06-20,271.4323592781525
2018-06-21,275.39985651212515
2018-06-22,293.99372321286035
2018-06-23,299.53176929095775
2018-06-24,283.9044145607807
2018-06-25,260.3669104163252
2018-06-26,271.0140831096037
2018-06-27,276.2789359273311
2018-06-28,264.7650334460505
2018-06-29,281.57539916554964
2018-06-30,299.54355869947824
2018-07-01,290.6380852491859
2018-07-02,268.80267899718194
2018-07-03,264.1616577821054
2018-07-04,251.60691379211184
2018-07-05,260.67598758957905
2018-07-06,279.00161855131347
2018-07-07,282.4896497593027
2018-07-08,287.7834607537974
2018-07-09,287.1019284923412
2018-07-10,290.41937471190096
2018-07-11,289.4555992276596
2018-07-12,285.9006014426256
2018-07-13,279.2463216314605
2018-07-14,275.32016650484184
2018-07-15,272.8393910562647
2018-07-16,279.911104109798
2018-07-17,289.01802345782613
2018-07-18,293.98288072190394
2018-07-19,294.2089518091559
2018-07-20,283.938427397594
2018-07-21,270.3303380204746
2018-07-22,266.1703145908964
2018-07-23,274.09831899101596
2018-07-24,280.2027663938343
2018-07-25,285.3251240842474
2018-07-26,286.3256620311081
2018-07-27,276.2254413043537
2018-07-28,277.29500793608236
2018-07-29,270.3450165346274
2018-07-30,262.6349380913539
2018-07-31,268.6380126779303
2018-08-01,262.8997327193429
2018-08-02,258.31909990989396
2018-08-03,259.6791192034435
2018-08-04,264.27320886874446
2018-08-05,256.95238143028297
2018-08-06,253.57299166619183
2018-08-07,251.5976539355149
2018-08-08,246.85945512233644
2018-08-09,259.4152158875923
2018-08-10,264.51239499542976
2018-08-11,256.1771850217066
2018-08-12,253.51797533854185
2018-08-13,248.5293343259861
2018-08-14,232.9737683874838
2018-08-15,226.74165962080232
2018-08-16,235.53828443385322
2018-08-17,247.4274881507245
2018-08-18,255.1220231863378
2018-08-19,253.67172656154406
2018-08-20,243.56250066967957
2018-08-21,216.20858940154767
2018-08-22,205.89633890303966
2018-08-23,209.1593342350684
2018-08-24,199.97990888811705
2018-08-25,206.59699041068984
2018-08-26,213.39027605696404
2018-08-27,203.95623786743448
2018-08-28,190.71293587157612
2018-08-29,190.72925081760104
2018-08-30,188.7595143842332
2018-08-31,193.9396974258528
2018-09-01,201.70807599447528
2018-09-02,205.20954159326266
