"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
157,bay,3140,548642.521,4187325.439
158,bay,3160,548660.7587,4187333.648
159,bay,3180,548678.9889,4187341.873
160,bay,3200,548697.1781,4187350.189
161,bay,3220,548715.3673,4187358.505
162,bay,3240,548733.5133,4187366.914
163,bay,3260,548751.6233,4187375.401
164,bay,3280,548769.6919,4187383.976
165,bay,3300,548787.6874,4187392.702
166,bay,3320,548805.672,4187401.452
167,bay,3340,548823.6566,4187410.201
168,bay,3360,548841.5833,4187419.069
169,bay,3380,548859.4837,4187427.989
170,bay,3400,548877.3842,4187436.91
171,bay,3420,548895.2644,4187445.87
172,bay,3440,548913.1248,4187454.87
173,bay,3460,548930.9853,4187463.871
174,bay,3480,548948.8457,4187472.871
175,bay,3500,548966.7061,4187481.871
176,bay,3520,548984.5666,4187490.872
177,bay,3540,549002.427,4187499.872
178,bay,3560,549020.2874,4187508.872
179,bay,3580,549038.1539,4187517.86
180,bay,3600,549056.08,4187526.729
181,bay,3620,549074.0062,4187535.598
182,bay,3640,549091.9735,4187544.382
183,bay,3660,549109.9692,4187553.109
184,bay,3680,549127.9967,4187561.769
185,bay,3700,549146.0841,4187570.304
186,bay,3720,549164.1716,4187578.839
187,bay,3740,549182.3505,4187587.177
188,bay,3760,549200.5524,4187595.465
189,bay,3780,549218.8067,4187603.635
190,bay,3800,549237.1337,4187611.643
191,bay,3820,549255.4818,4187619.601
192,bay,3840,549273.9415,4187627.297
193,bay,3860,549292.4012,4187634.994
194,bay,3880,549310.9447,4187642.487
195,bay,3900,549329.4884,4187649.979
196,bay,3920,549348.0322,4187657.471
197,bay,3940,549366.5851,4187664.94
198,bay,3960,549385.1879,4187672.284
199,bay,3980,549403.83,4187679.527
200,bay,4000,549422.5137,4187686.663
201,bay,4020,549441.2449,4187693.672
202,bay,4040,549460.0372,4187700.517
203,bay,4060,549478.9021,4187707.159
204,bay,4080,549497.8354,4187713.602
205,bay,4100,549516.8779,4187719.712
206,bay,4120,549536.1323,4187725.118
207,bay,4140,549555.5312,4187729.98
208,bay,4160,549575.0335,4187734.414
209,bay,4180,549594.5859,4187738.619
210,bay,4200,549614.1553,4187742.747
211,bay,4220,549633.7173,4187746.909
212,bay,4240,549653.2385,4187751.257
213,bay,4260,549672.681,4187755.942
214,bay,4280,549691.9859,4187761.161
215,bay,4300,549711.1054,4187767.018
216,bay,4320,549729.98,4187773.625
217,bay,4340,549748.4432,4187781.305
218,bay,4360,549766.4146,4187790.075
219,bay,4380,549783.8054,4187799.946
220,bay,4400,549800.7009,4187810.643
221,bay,4420,549817.0503,4187822.158
222,bay,4440,549832.9022,4187834.349
223,bay,4460,549848.3281,4187847.076
224,bay,4480,549863.3749,4187860.249
225,bay,4500,549878.054,4187873.833
226,bay,4520,549892.4755,4187887.689
227,bay,4540,549906.6533,4187901.795
228,bay,4560,549920.7466,4187915.985
229,bay,4580,549934.7248,4187930.29
230,bay,4600,549948.703,4187944.594
231,bay,4620,549962.6812,4187958.898
232,bay,4640,549976.7439,4187973.119
233,bay,4660,549990.985,4187987.16
234,bay,4680,550005.4515,4188000.97
235,bay,4700,550020.1891,4188014.489
236,bay,4720,550035.254,4188027.642
237,bay,4740,550050.7366,4188040.301
238,bay,4760,550066.473,4188052.645
239,bay,4780,550082.4057,4188064.733
240,bay,4800,550098.4842,4188076.627
241,bay,4820,550114.6969,4188088.337
242,bay,4840,550131.0615,4188099.835
243,bay,4860,550147.5783,4188111.112
244,bay,4880,550164.1946,4188122.242
245,bay,4900,550180.9058,4188133.23
246,bay,4920,550197.7645,4188143.99
247,bay,4940,550214.6911,4188154.643
248,bay,4960,550231.6925,4188165.176
249,bay,4980,550248.7934,4188175.547
250,bay,5000,550265.9581,4188185.812
251,bay,5020,550283.1767,4188195.986
252,bay,5040,550300.462,4188206.047
253,bay,5060,550317.7979,4188216.02
254,bay,5080,550335.1655,4188225.938
255,bay,5100,550352.5972,4188235.743
256,bay,5120,550370.029,4188245.547
257,bay,5140,550387.4726,4188255.331
258,bay,5160,550404.9544,4188265.046
259,bay,5180,550422.4362,4188274.762
260,bay,5200,550439.9179,4188284.477
261,bay,5220,550457.3997,4188294.192
262,bay,5240,550474.8814,4188303.908
263,bay,5260,550492.3632,4188313.623
264,bay,5280,550509.8368,4188323.353
265,bay,5300,550527.2538,4188333.184
266,bay,5320,550544.6585,4188343.037
267,bay,5340,550562.0071,4188352.988
268,bay,5360,550579.3173,4188363.005
269,bay,5380,550596.5762,4188373.111
270,bay,5400,550613.7724,4188383.323
271,bay,5420,550630.918,4188393.62
272,bay,5440,550647.9599,4188404.087
273,bay,5460,550664.9565,4188414.628
274,bay,5480,550681.8256,4188425.372
275,bay,5500,550698.602,4188436.259
276,bay,5520,550715.2977,4188447.27
277,bay,5540,550731.8283,4188458.527
278,bay,5560,550748.2869,4188469.889
279,bay,5580,550764.5539,4188481.525
280,bay,5600,550780.6882,4188493.342
281,bay,5620,550796.7091,4188505.314
282,bay,5640,550812.4682,4188517.628
283,bay,5660,550828.0896,4188530.115
284,bay,5680,550843.5529,4188542.799
285,bay,5700,550858.7145,4188555.842
286,bay,5720,550873.6952,4188569.09
287,bay,5740,550888.4909,4188582.547
288,bay,5760,550902.9956,4188596.316
289,bay,5780,550917.2916,4188610.302
290,bay,5800,550931.3821,4188624.495
291,bay,5820,550945.2026,4188638.951
292,bay,5840,550958.9365,4188653.489
293,bay,5860,550972.3694,4188668.307
294,bay,5880,550985.6837,4188683.23
295,bay,5900,550998.7918,4188698.335
296,bay,5920,551011.7196,4188713.594
297,bay,5940,551024.5164,4188728.964
298,bay,5960,551037.0954,4188744.512
299,bay,5980,551049.5964,4188760.124
300,bay,6000,551061.8676,4188775.916
301,bay,6020,551074.0905,4188791.747
302,bay,6040,551086.1173,4188807.726
303,bay,6060,551098.0771,4188823.756
304,bay,6080,551109.8711,4188839.908
305,bay,6100,551121.5981,4188856.109
306,bay,6120,551133.2147,4188872.39
307,bay,6140,551144.7505,4188888.727
308,bay,6160,551156.2093,4188905.119
309,bay,6180,551167.6042,4188921.555
310,bay,6200,551178.9386,4188938.034
311,bay,6220,551190.2045,4188954.559
312,bay,6240,551201.4457,4188971.101
313,bay,6260,551212.621,4188987.687
314,bay,6280,551223.7747,4189004.288
315,bay,6300,551234.9285,4189020.889
316,bay,6320,551246.0822,4189037.49
317,bay,6340,551257.236,4189054.091
318,bay,6360,551268.3897,4189070.692
319,bay,6380,551279.5435,4189087.293
320,bay,6400,551290.7517,4189103.858
321,bay,6420,551301.9615,4189120.421
322,bay,6440,551313.2137,4189136.955
323,bay,6460,551324.5433,4189153.437
324,bay,6480,551335.8729,4189169.918
325,bay,6500,551347.3215,4189186.317
326,bay,6520,551358.8186,4189202.682
327,bay,6540,551370.3677,4189219.01
328,bay,6560,551382.0221,4189235.264
329,bay,6580,551393.8017,4189251.427
330,bay,6600,551405.6817,4189267.516
331,bay,6620,551417.6699,4189283.524
332,bay,6640,551429.7759,4189299.444
333,bay,6660,551442.0087,4189315.267
334,bay,6680,551454.3775,4189330.983
335,bay,6700,551466.9075,4189346.572
336,bay,6720,551479.5906,4189362.036
337,bay,6740,551492.4561,4189377.348
338,bay,6760,551505.6115,4189392.412
339,bay,6780,551518.9994,4189407.269
340,bay,6800,551532.6,4189421.933
341,bay,6820,551546.3938,4189436.414
342,bay,6840,551560.4147,4189450.676
343,bay,6860,551574.4982,4189464.877
344,bay,6880,551588.7857,4189478.871
345,bay,6900,551603.1192,4189492.819
346,bay,6920,551617.6363,4189506.576
347,bay,6940,551632.164,4189520.322
348,bay,6960,551646.8115,4189533.94
349,bay,6980,551661.4778,4189547.537
350,bay,7000,551676.1918,4189561.084
351,bay,7020,551690.9229,4189574.611
352,bay,7040,551705.654,4189588.139
353,bay,7060,551720.3851,4189601.666
354,bay,7080,551735.1162,4189615.194
355,bay,7100,551749.8473,4189628.721
356,bay,7120,551764.4665,4189642.37
357,bay,7140,551779.0525,4189656.053
358,bay,7160,551793.5423,4189669.839
359,bay,7180,551807.912,4189683.749
360,bay,7200,551822.2272,4189697.716
361,bay,7220,551836.3302,4189711.897
362,bay,7240,551850.34,4189726.169
363,bay,7260,551864.1553,4189740.631
364,bay,7280,551877.7471,4189755.302
365,bay,7300,551891.1842,4189770.114
366,bay,7320,551904.3306,4189785.186
367,bay,7340,551917.2074,4189800.488
368,bay,7360,551929.7896,4189816.034
369,bay,7380,551942.049,4189831.835
370,bay,7400,551953.9011,4189847.944
371,bay,7420,551965.3683,4189864.329
372,bay,7440,551976.4225,4189880.996
373,bay,7460,551986.9729,4189897.985
374,bay,7480,551997.0092,4189915.283
375,bay,7500,552006.5352,4189932.868
376,bay,7520,552015.3961,4189950.796
377,bay,7540,552023.679,4189968.999
378,bay,7560,552031.3756,4189987.458
379,bay,7580,552038.5677,4190006.12
380,bay,7600,552045.314,4190024.947
381,bay,7620,552051.6295,4190043.923
382,bay,7640,552057.5299,4190063.031
383,bay,7660,552063.0308,4190082.259
384,bay,7680,552068.1479,4190101.593
385,bay,7700,552072.8968,4190121.02
386,bay,7720,552077.293,4190140.53
387,bay,7740,552081.3518,4190160.113
