point,route,distance,x,y
3237,bay,64740,586065.726,586065.726
3238,bay,64760,586085.1238,586085.1238
3239,bay,64780,586104.533,586104.533
3240,bay,64800,586123.9688,586123.9688
3241,bay,64820,586143.4045,586143.4045
3242,bay,64840,586162.8628,586162.8628
3243,bay,64860,586182.3369,586182.3369
3244,bay,64880,586201.8111,586201.8111
3245,bay,64900,586221.3211,586221.3211
3246,bay,64920,586240.8339,586240.8339
3247,bay,64940,586260.3418,586260.3418
3248,bay,64960,586279.8398,586279.8398
3249,bay,64980,586299.3378,586299.3378
3250,bay,65000,586318.8791,586318.8791
3251,bay,65020,586338.5487,586338.5487
3252,bay,65040,586358.3505,586358.3505
3253,bay,65060,586378.2478,586378.2478
3254,bay,65080,586398.1823,586398.1823
3255,bay,65100,586418.1272,586418.1272
3256,bay,65120,586438.072,586438.072
3257,bay,65140,586458.0233,586458.0233
3258,bay,65160,586477.9899,586477.9899
3259,bay,65180,586497.9684,586497.9684
3260,bay,65200,586517.9561,586517.9561
3261,bay,65220,586537.9502,586537.9502
3262,bay,65240,586557.9483,586557.9483
3263,bay,65260,586577.9479,586577.9479
3264,bay,65280,586597.9472,586597.9472
3265,bay,65300,586617.9443,586617.9443
3266,bay,65320,586637.9376,586637.9376
3267,bay,65340,586657.9258,586657.9258
3268,bay,65360,586677.9074,586677.9074
3269,bay,65380,586697.8768,586697.8768
3270,bay,65400,586717.8462,586717.8462
3271,bay,65420,586737.7988,586737.7988
3272,bay,65440,586757.7471,586757.7471
3273,bay,65460,586777.6856,586777.6856
3274,bay,65480,586797.612,586797.612
3275,bay,65500,586817.529,586817.529
3276,bay,65520,586837.4344,586837.4344
3277,bay,65540,586857.3323,586857.3323
3278,bay,65560,586877.2163,586877.2163
3279,bay,65580,586897.0974,586897.0974
3280,bay,65600,586916.9607,586916.9607
3281,bay,65620,586936.8241,586936.8241
3282,bay,65640,586956.6738,586956.6738
3283,bay,65660,586976.5197,586976.5197
3284,bay,65680,586996.3563,586996.3563
3285,bay,65700,587016.1885,587016.1885
3286,bay,65720,587036.0162,587036.0162
3287,bay,65740,587055.835,587055.835
3288,bay,65760,587075.6538,587075.6538
3289,bay,65780,587095.4725,587095.4725
3290,bay,65800,587115.2913,587115.2913
3291,bay,65820,587135.1101,587135.1101
3292,bay,65840,587154.9289,587154.9289
3293,bay,65860,587174.7476,587174.7476
3294,bay,65880,587194.569,587194.569
3295,bay,65900,587214.3965,587214.3965
3296,bay,65920,587234.224,587234.224
3297,bay,65940,587254.0548,587254.0548
3298,bay,65960,587273.9004,587273.9004
3299,bay,65980,587293.746,587293.746
3300,bay,66000,587313.5922,587313.5922
3301,bay,66020,587333.4615,587333.4615
3302,bay,66040,587353.3308,587353.3308
3303,bay,66060,587373.2041,587373.2041
3304,bay,66080,587393.0938,587393.0938
3305,bay,66100,587412.993,587412.993
3306,bay,66120,587432.8996,587432.8996
3307,bay,66140,587452.8202,587452.8202
3308,bay,66160,587472.7498,587472.7498
3309,bay,66180,587492.6877,587492.6877
3310,bay,66200,587512.6371,587512.6371
3311,bay,66220,587532.5966,587532.5966
3312,bay,66240,587552.5637,587552.5637
3313,bay,66260,587572.5382,587572.5382
3314,bay,66280,587592.5218,587592.5218
3315,bay,66300,587612.5113,587612.5113
3316,bay,66320,587632.5026,587632.5026
3317,bay,66340,587652.4946,587652.4946
3318,bay,66360,587672.4909,587672.4909
3319,bay,66380,587692.4873,587692.4873
3320,bay,66400,587712.4847,587712.4847
3321,bay,66420,587732.4838,587732.4838
3322,bay,66440,587752.483,587752.483
3323,bay,66460,587772.4825,587772.4825
3324,bay,66480,587792.4825,587792.4825
3325,bay,66500,587812.4825,587812.4825
3326,bay,66520,587832.4823,587832.4823
3327,bay,66540,587852.4818,587852.4818
3328,bay,66560,587872.4814,587872.4814
3329,bay,66580,587892.4806,587892.4806
3330,bay,66600,587912.4789,587912.4789
3331,bay,66620,587932.4772,587932.4772
3332,bay,66640,587952.4755,587952.4755
3333,bay,66660,587972.4727,587972.4727
3334,bay,66680,587992.4696,587992.4696
3335,bay,66700,588012.4664,588012.4664
3336,bay,66720,588032.4632,588032.4632
3337,bay,66740,588052.4593,588052.4593
3338,bay,66760,588072.4553,588072.4553
3339,bay,66780,588092.4514,588092.4514
3340,bay,66800,588112.4475,588112.4475
3341,bay,66820,588132.4435,588132.4435
3342,bay,66840,588152.4396,588152.4396
3343,bay,66860,588172.4356,588172.4356
3344,bay,66880,588192.4317,588192.4317
3345,bay,66900,588212.4277,588212.4277
3346,bay,66920,588232.4238,588232.4238
3347,bay,66940,588252.4211,588252.4211
3348,bay,66960,588272.4187,588272.4187
3349,bay,66980,588292.4163,588292.4163
3350,bay,67000,588312.4147,588312.4147
3351,bay,67020,588332.4135,588332.4135
3352,bay,67040,588352.4123,588352.4123
3353,bay,67060,588372.412,588372.412
3354,bay,67080,588392.4118,588392.4118
3355,bay,67100,588412.4115,588412.4115
3356,bay,67120,588432.4114,588432.4114
3357,bay,67140,588452.4112,588452.4112
3358,bay,67160,588472.4111,588472.4111
3359,bay,67180,588492.4102,588492.4102
3360,bay,67200,588512.4086,588512.4086
3361,bay,67220,588532.4069,588532.4069
3362,bay,67240,588552.4031,588552.4031
3363,bay,67260,588572.3977,588572.3977
3364,bay,67280,588592.3923,588592.3923
3365,bay,67300,588612.3803,588612.3803
3366,bay,67320,588632.3664,588632.3664
3367,bay,67340,588652.3435,588652.3435
3368,bay,67360,588672.3149,588672.3149
3369,bay,67380,588692.2802,588692.2802
3370,bay,67400,588712.2337,588712.2337
3371,bay,67420,588732.1872,588732.1872
3372,bay,67440,588752.1221,588752.1221
3373,bay,67460,588772.0561,588772.0561
3374,bay,67480,588791.9828,588791.9828
3375,bay,67500,588811.8986,588811.8986
3376,bay,67520,588831.8138,588831.8138
3377,bay,67540,588851.7141,588851.7141
3378,bay,67560,588871.6144,588871.6144
3379,bay,67580,588891.5098,588891.5098
3380,bay,67600,588911.3983,588911.3983
3381,bay,67620,588931.2867,588931.2867
3382,bay,67640,588951.1706,588951.1706
3383,bay,67660,588971.0532,588971.0532
3384,bay,67680,588990.9359,588990.9359
3385,bay,67700,589010.8185,589010.8185
3386,bay,67720,589030.7011,589030.7011
3387,bay,67740,589050.5838,589050.5838
3388,bay,67760,589070.4664,589070.4664
3389,bay,67780,589090.3618,589090.3618
3390,bay,67800,589110.2583,589110.2583
3391,bay,67820,589130.1547,589130.1547
3392,bay,67840,589150.0526,589150.0526
3393,bay,67860,589169.9661,589169.9661
3394,bay,67880,589189.8799,589189.8799
3395,bay,67900,589209.8077,589209.8077
3396,bay,67920,589229.7371,589229.7371
3397,bay,67940,589249.6795,589249.6795
3398,bay,67960,589269.626,589269.626
3399,bay,67980,589289.5827,589289.5827
3400,bay,68000,589309.5474,589309.5474
3401,bay,68020,589329.5188,589329.5188
3402,bay,68040,589349.4967,589349.4967
3403,bay,68060,589369.4817,589369.4817
3404,bay,68080,589389.4716,589389.4716
3405,bay,68100,589409.4664,589409.4664
3406,bay,68120,589429.464,589429.464
3407,bay,68140,589449.4637,589449.4637
3408,bay,68160,589469.4625,589469.4625
3409,bay,68180,589489.461,589489.461
3410,bay,68200,589509.4517,589509.4517
3411,bay,68220,589529.4392,589529.4392
3412,bay,68240,589549.4127,589549.4127
3413,bay,68260,589569.3749,589569.3749
3414,bay,68280,589589.3225,589589.3225
3415,bay,68300,589609.2507,589609.2507
3416,bay,68320,589629.1577,589629.1577
3417,bay,68340,589649.0441,589649.0441
3418,bay,68360,589668.9084,589668.9084
3419,bay,68380,589688.7496,589688.7496
3420,bay,68400,589708.5667,589708.5667
3421,bay,68420,589728.359,589728.359
3422,bay,68440,589748.126,589748.126
3423,bay,68460,589767.8635,589767.8635
3424,bay,68480,589787.5678,589787.5678
3425,bay,68500,589807.2721,589807.2721
3426,bay,68520,589826.9158,589826.9158
3427,bay,68540,589846.5588,589846.5588
3428,bay,68560,589866.1609,589866.1609
3429,bay,68580,589885.7415,589885.7415
3430,bay,68600,589905.3072,589905.3072
3431,bay,68620,589924.8257,589924.8257
3432,bay,68640,589944.3441,589944.3441
3433,bay,68660,589963.8231,589963.8231
3434,bay,68680,589983.2869,589983.2869
3435,bay,68700,590002.7216,590002.7216
3436,bay,68720,590022.1389,590022.1389
3437,bay,68740,590041.5371,590041.5371
3438,bay,68760,590060.9105,590060.9105
3439,bay,68780,590080.2789,590080.2789
3440,bay,68800,590099.6122,590099.6122
3441,bay,68820,590118.9455,590118.9455
3442,bay,68840,590138.2574,590138.2574
3443,bay,68860,590157.5581,590157.5581
3444,bay,68880,590176.8479,590176.8479
3445,bay,68900,590196.1237,590196.1237
3446,bay,68920,590215.3994,590215.3994
3447,bay,68940,590234.6519,590234.6519
3448,bay,68960,590253.9037,590253.9037
3449,bay,68980,590273.1555,590273.1555
3450,bay,69000,590292.4073,590292.4073
3451,bay,69020,590311.6591,590311.6591
3452,bay,69040,590330.911,590330.911
3453,bay,69060,590350.1628,590350.1628
3454,bay,69080,590369.4146,590369.4146
3455,bay,69100,590388.6734,590388.6734
3456,bay,69120,590407.9412,590407.9412
3457,bay,69140,590427.209,590427.209
3458,bay,69160,590446.4804,590446.4804
3459,bay,69180,590465.7822,590465.7822
3460,bay,69200,590485.084,590485.084
3461,bay,69220,590504.3859,590504.3859
3462,bay,69240,590523.7212,590523.7212
3463,bay,69260,590543.0699,590543.0699
3464,bay,69280,590562.4185,590562.4185
3465,bay,69300,590581.7913,590581.7913
3466,bay,69320,590601.1758,590601.1758
3467,bay,69340,590620.5603,590620.5603
3468,bay,69360,590639.9448,590639.9448
3469,bay,69380,590659.3293,590659.3293
3470,bay,69400,590678.7138,590678.7138
3471,bay,69420,590698.0983,590698.0983
3472,bay,69440,590717.4828,590717.4828
3473,bay,69460,590736.8673,590736.8673
3474,bay,69480,590756.2518,590756.2518
3475,bay,69500,590775.6363,590775.6363
3476,bay,69520,590795.0208,590795.0208
3477,bay,69540,590814.4053,590814.4053
3478,bay,69560,590833.7815,590833.7815
3479,bay,69580,590853.1497,590853.1497
3480,bay,69600,590872.5178,590872.5178
3481,bay,69620,590891.886,590891.886
3482,bay,69640,590911.2542,590911.2542
3483,bay,69660,590930.6223,590930.6223
3484,bay,69680,590949.9726,590949.9726
3485,bay,69700,590969.3165,590969.3165
3486,bay,69720,590988.6605,590988.6605
3487,bay,69740,591007.9887,591007.9887
3488,bay,69760,591027.3102,591027.3102
3489,bay,69780,591046.6317,591046.6317
3490,bay,69800,591065.9312,591065.9312
3491,bay,69820,591085.227,591085.227
3492,bay,69840,591104.5182,591104.5182
3493,bay,69860,591123.7851,591123.7851
3494,bay,69880,591143.052,591143.052
3495,bay,69900,591162.2996,591162.2996
3496,bay,69920,591181.5328,591181.5328
3497,bay,69940,591200.7661,591200.7661
3498,bay,69960,591219.9666,591219.9666
3499,bay,69980,591239.1611,591239.1611
3500,bay,70000,591258.3464,591258.3464
3501,bay,70020,591277.4984,591277.4984
3502,bay,70040,591296.6504,591296.6504
3503,bay,70060,591315.7719,591315.7719
3504,bay,70080,591334.8776,591334.8776
3505,bay,70100,591353.9745,591353.9745
3506,bay,70120,591373.0301,591373.0301
3507,bay,70140,591392.0858,591392.0858
3508,bay,70160,591411.1008,591411.1008
3509,bay,70180,591430.1025,591430.1025
