"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
149,bay,2980,548496.0496,4187261.0520
150,bay,3000,548514.4038,4187268.9971
151,bay,3020,548532.7550,4187276.9488
152,bay,3040,548551.0758,4187284.9706
153,bay,3060,548569.3966,4187292.9924
154,bay,3080,548587.7056,4187301.0409
155,bay,3100,548605.9872,4187309.1515
156,bay,3120,548624.2688,4187317.2622
157,bay,3140,548642.5210,4187325.4386
158,bay,3160,548660.7587,4187333.6476
159,bay,3180,548678.9889,4187341.8731
160,bay,3200,548697.1781,4187350.1890
161,bay,3220,548715.3673,4187358.5048
162,bay,3240,548733.5133,4187366.9141
163,bay,3260,548751.6233,4187375.4009
164,bay,3280,548769.6919,4187383.9755
165,bay,3300,548787.6874,4187392.7023
166,bay,3320,548805.6720,4187401.4518
167,bay,3340,548823.6566,4187410.2014
168,bay,3360,548841.5833,4187419.0685
169,bay,3380,548859.4837,4187427.9890
170,bay,3400,548877.3842,4187436.9095
171,bay,3420,548895.2644,4187445.8702
172,bay,3440,548913.1248,4187454.8704
173,bay,3460,548930.9853,4187463.8707
174,bay,3480,548948.8457,4187472.8710
175,bay,3500,548966.7061,4187481.8713
176,bay,3520,548984.5666,4187490.8715
177,bay,3540,549002.4270,4187499.8718
178,bay,3560,549020.2874,4187508.8721
179,bay,3580,549038.1539,4187517.8604
180,bay,3600,549056.0800,4187526.7290
181,bay,3620,549074.0062,4187535.5976
182,bay,3640,549091.9735,4187544.3822
183,bay,3660,549109.9692,4187553.1089
184,bay,3680,549127.9967,4187561.7691
185,bay,3700,549146.0841,4187570.3040
186,bay,3720,549164.1716,4187578.8390
187,bay,3740,549182.3505,4187587.1765
188,bay,3760,549200.5524,4187595.4645
189,bay,3780,549218.8067,4187603.6350
190,bay,3800,549237.1337,4187611.6426
191,bay,3820,549255.4818,4187619.6008
192,bay,3840,549273.9415,4187627.2974
193,bay,3860,549292.4012,4187634.9941
194,bay,3880,549310.9447,4187642.4868
195,bay,3900,549329.4884,4187649.9788
196,bay,3920,549348.0322,4187657.4707
197,bay,3940,549366.5851,4187664.9397
198,bay,3960,549385.1879,4187672.2837
199,bay,3980,549403.8300,4187679.5272
200,bay,4000,549422.5137,4187686.6625
201,bay,4020,549441.2449,4187693.6723
202,bay,4040,549460.0372,4187700.5169
203,bay,4060,549478.9021,4187707.1587
204,bay,4080,549497.8354,4187713.6022
205,bay,4100,549516.8779,4187719.7117
206,bay,4120,549536.1323,4187725.1176
207,bay,4140,549555.5312,4187729.9797
208,bay,4160,549575.0335,4187734.4137
209,bay,4180,549594.5859,4187738.6194
210,bay,4200,549614.1553,4187742.7471
211,bay,4220,549633.7173,4187746.9092
212,bay,4240,549653.2385,4187751.2573
213,bay,4260,549672.6810,4187755.9424
214,bay,4280,549691.9859,4187761.1610
215,bay,4300,549711.1054,4187767.0182
216,bay,4320,549729.9800,4187773.6247
217,bay,4340,549748.4432,4187781.3046
218,bay,4360,549766.4146,4187790.0753
219,bay,4380,549783.8054,4187799.9462
