X,Y,id,id_2
652291.3125,4172465,1,
652401.1875,4174797.25,2,
651800.6875,4176016.25,3,
650044,4176792.75,4,
648995.5625,4180562.75,5,
649669.1875,4182589.25,6,
648443.8125,4184173.5,7,
647237.0625,4185855.5,8,
648354.25,4187713,9,
647489.8125,4190138.5,10,
647526.5,4192087.5,11,
646515.5,4186410.5,48,
646028.0625,4187282.5,49,
645366.375,4187263.5,50,
644353.8125,4186947.75,51,
643018.9375,4187291.75,52,
642598.8125,4186989.5,53,
641645.8125,4185910.75,54,
640142.5,4185524.75,55,
639159.9375,4186107.25,56,
638995.125,4185064.75,57,
638937.5625,4184888.75,58,
637840.25,4184496.5,59,
637057.6875,4184976.75,60,
635696.5625,4184959,61,
634820.3125,4184459.75,62,
634158.9375,4183453.75,63,
633404.9375,4182730.75,64,
632312.625,4182652.25,65,
630772.125,4183653.5,66,
629818.875,4184470,67,
629153.5625,4185159,68,
628267,4185764,69,
626906.0625,4186453,70,
627388.0625,4187144.5,71,
627296.5625,4187984,72,
627018.25,4188880,73,
626758.3125,4189671.75,74,
626353.3125,4190704.5,75,
625907.9375,4191256.75,76,
625478.4375,4191891,77,
625077.6875,4193038.25,78,
625216.5,4194337.5,79,
626002.3125,4195060.5,80,
625478.4375,4196111,81,
626290.5,4197130,82,
626081.75,4197413.5,83,
626999.125,4198083.5,84,
626822.3125,4199120.5,85,
626468.8125,4200095.5,86,
626718.75,4200796.5,87,
625779.9375,4200552.5,88,
626221.9375,4201619.5,89,
642063.125,4188028.5,104,
642572.5,4190194,105,
642842.6875,4191531.25,106,
642203.75,4193334.25,107,
641032.8125,4194434.5,108,
639317.0625,4194633.5,109,
637810.875,4195042.5,110,
636603.3125,4194293,111,
634764.4375,4193850.5,112,
632826.0625,4194573.5,113,
632289.0625,4195569,114,
632118.8125,4196189.5,115,
631128.625,4196582.5,116,
630402.1875,4197315,117,
630319.1875,4198020.5,118,
629197.9375,4198380.5,119,
629373.5,4199303.5,120,
628876.6875,4200065.5,121,
628735.0625,4200985,122,
629608.1875,4201040.5,123,
629080.875,4202168.5,124,
639074.3125,4183841,149,
639192.8125,4181795.25,150,
645250.375,4181255.5,151,
644446.375,4181696.75,152,
643951,4181192.5,153,
642975.375,4181314,154,
642208.625,4181533.5,155,
641932.25,4182303,156,
641365.75,4181880.5,157,
640666.625,4182830.75,158,
640021.4375,4182442.5,159,
639571.8125,4183094.5,160,
648220.0625,4180640.75,162,
646528.25,4182471,163,
645370.6875,4183844,164,
643501,4185038.5,165,
645323.5,4183265.25,166,
643434.875,4184954.75,167,
641475.5,4185418.25,168,
639560.6875,4185177.25,169,
640380.5625,4187039.75,170,
638224.75,4186992.75,171,
636503.75,4186942.75,172,
635427.1875,4186922,173,
634353.1875,4186903.5,174,
633232.0625,4186877.5,175,
632155.4375,4186851.25,176,
630882.375,4186830.25,177,
628810.375,4186798.75,178,
628383.4375,4188606.25,182,
628737.0625,4189541.5,183,
628940.75,4190098.75,184,
628333.6875,4190196.25,185,
628358.5,4190951.75,186,
627710.25,4190720.25,187,
631754.6875,4193963,188,
630458.0625,4193245.25,189,
629606.75,4192766,190,
628783.3125,4192321.75,191,
627285.875,4191424.75,192,
628936.125,4197245,194,
627471.875,4197221.5,195,
625121.625,4197657.5,196,
624021.25,4197870.5,197,
622521.6875,4197535.5,198,
624917.875,4191343.5,212,
627489.9375,4200095.5,213,
644781.8273,4184254.679,800,
644299.8137,4184599.69,801,
643945.245,4184817.742,802,
643149.2075,4185364.924,803,
642819.4662,4185425.513,804,
644446.7172,4183684.8,805,
644079.9666,4184066.409,806,
643767.7812,4184630.215,807,
643098.0171,4185022.594,808,
642821.9176,4185125.92,809,
642340.3395,4185243.549,810,
640955.5103,4185200.504,811,
640236.914,4185018.152,812,
638627.9671,4184416.817,814,
639130.4862,4183087.804,813,
631626.2577,4183226.381,815,
